nom;iso;lits
Institut Donald Huang;AFG;6520
Centre Hospitalier Mattie Merino;AFG;5236
Institut de Santé John Menezes;AFG;1928
Centre de Recherche Winnie Fisher;AFG;1393
Centre de Recherche Ines Rodriquez;AFG;3164
Clinique Terry Jessop;AFG;503
Hôpital Jerry Russell;AFG;679
Centre Hospitalier Universitaire Carmen Boyd;AFG;169
Institut Janet Johnson;ALB;7674
Centre de Recherche Jeremy Hans;ALB;577
Institut Allison Castor;ALB;338
Centre Médical Jessie Wright;DZA;4697
Clinique Ralph Cole;DZA;6369
Hôpital Frank Herrs;DZA;6679
Clinique Richard Gordan;DZA;8150
Centre Hospitalier Universitaire Mickey Field;DZA;9132
Centre Hospitalier Universitaire Eduardo Hegarty;DZA;1359
Institut de Santé Trina Price;DZA;1583
Hôpital Ernest Landry;DZA;946
Institut de Santé Kyle Stocker;DZA;5702
Centre Walter Cotto;DZA;2390
Institut de Santé Russ Chapman;DZA;3841
Centre Donna Rocha;DZA;3312
Centre Hospitalier Raymond Yoder;DZA;3592
Centre de Recherche Alberta Arteaga;DZA;4229
Centre Hospitalier Lois Creek;DZA;8301
Centre Jose Rozen;DZA;4149
Clinique Tracy Reyes;DZA;8782
Centre Hospitalier Universitaire Peggy Quillan;DZA;173
Centre William Rainey;ATG;424
Hôpital Sue Shaw;ARG;5578
Centre Médical Johnny Quinn;ARG;873
Centre Hospitalier Universitaire James Fowler;ARG;1256
Institut de Santé Arlene Chaffin;ARG;3642
Centre Médical David Mazanec;ARG;880
Hôpital Gary Stewart;ARG;3492
Centre Cornell Knapper;ARG;3790
Institut de Santé Debbra Villareal;ARG;8859
Centre Médical Cassandra Bethards;ARG;8842
Clinique David Rybczynski;ARG;6253
Centre Hospitalier Universitaire Lori McMillen;ARG;6179
Centre John Marinak;ARG;3358
Centre Hospitalier Kathy Camacho;ARG;3379
Hôpital Christine Wilson;ARG;5797
Centre Hospitalier Universitaire Timothy Norman;ARG;5014
Centre de Recherche Austin McKay;ARG;1110
Clinique Lynell Bishop;ARG;3727
Centre Médical Becky Campuzano;ARG;9782
Clinique Joyce Sapien;ARG;3524
Centre Ronald Dybas;ARG;5992
Clinique Robert Casey;ARG;1147
Institut James Westberry;ARG;7929
Centre Chris Harrelson;ARG;6067
Hôpital Pamela Sears;ARG;3831
Clinique Cindy Hebert;ARG;3347
Centre Hospitalier Diane Cantu;ARG;6898
Centre Hospitalier Universitaire Natasha Bricker;ARG;980
Centre Hospitalier Michael Dapp;ARG;1527
Centre Médical Philip Williams;ARG;8915
Institut de Santé Diana Pogue;ARG;2578
Institut Ethel Kizer;ARG;1515
Hôpital Christy Burns;ARG;4963
Centre Hospitalier Philomena Orozco;ARG;1902
Centre Travis Johnson;ARG;6628
Clinique John Conger;ARG;2862
Centre Médical Leonardo Bonnot;ARG;2654
Centre Linda Tegge;ARG;9261
Clinique Sharon Diemert;ARG;5884
Centre de Recherche Troy Malnati;ARG;641
Institut de Santé Joey Madison;ARG;5944
Centre Edwin Berkley;ARG;5835
Institut Joseph Williams;ARG;6050
Centre Médical Marion Tibbitts;ARG;1911
Centre de Recherche Larry Killgore;ARG;7092
Centre Hospitalier George Arterburn;ARG;4676
Institut de Santé Susan Cintolo;ARG;5316
Institut de Santé Bruce Hamilton;ARG;1356
Hôpital Stanley Young;ARG;5869
Centre Médical Steven Williams;ARG;2382
Centre Adam Fretwell;ARG;2924
Clinique James Fredrick;ARG;662
Hôpital Jeff Maurin;ARG;3931
Centre Hospitalier Diana Ewings;ARG;760
Hôpital John Wilson;ARG;429
Institut de Santé Dean Spurlin;ARM;7936
Institut de Santé Steven Gonzalez;ARM;2918
Centre Walter Wimbush;ARM;1172
Centre Hospitalier Margarite Sapio;ARM;440
Clinique Beverly Delarosa;AUS;4856
Institut de Santé Arianna Reyes;AUS;5098
Centre Dustin Trujillo;AUS;2161
Institut Christina Stokes;AUS;8563
Centre Médical Frederic Ciceron;AUS;4839
Centre Hospitalier Universitaire Lisa Toro;AUS;1609
Institut Louise Smith;AUS;1399
Centre Hospitalier Carol Stevenson;AUS;1232
Centre Hospitalier Universitaire Alice Pule;AUS;5951
Institut de Santé Gabriel Kujawa;AUS;6729
Centre de Recherche Bernadette Barnes;AUS;3837
Institut de Santé Marvin Robinson;AUS;8227
Centre Justin Paul;AUS;4237
Centre Hospitalier Universitaire June Swartz;AUS;4148
Institut Margaret Ellwood;AUS;8379
Hôpital George Schied;AUS;5322
Centre Donovan Grainger;AUS;2525
Centre Hospitalier Universitaire Amos Lewis;AUS;9676
Centre Hospitalier Universitaire Margaret Hein;AUS;7971
Centre Maurice Jarvis;AUS;517
Centre de Recherche Kizzy Dugan;AUS;527
Centre Tanya Alanis;AUS;401
Centre de Recherche Dawn Mahaffey;AUT;4850
Centre Médical Gwendolyn Carney;AUT;8194
Centre Randall Milo;AUT;732
Institut Elsie Meza;AUT;3106
Institut de Santé Damian Tomlinson;AUT;3880
Clinique Christine Bright;AUT;8524
Centre de Recherche Sheri Moody;AUT;5811
Centre Médical Dong Ducharme;AUT;4088
Centre Rebecca Farber;AUT;5356
Centre Médical Keith Branker;AUT;3352
Centre Médical Anna Quesenberry;AUT;8036
Institut de Santé Roxanne Murphy;AUT;2256
Centre de Recherche Allen Walker;AUT;4879
Centre Hospitalier Jason Fassnacht;AUT;3282
Centre Médical Marty Moreno;AUT;212
Hôpital Roderick Goff;AZE;8126
Centre Hospitalier Universitaire Rhonda Freese;AZE;8302
Hôpital Erin Murphy;AZE;3111
Institut Joanne Guevara;AZE;9416
Centre de Recherche Gerald Martin;AZE;3002
Centre de Recherche Lawrence Flores;AZE;4858
Centre Hospitalier Russell Lam;AZE;6965
Centre de Recherche Brandon Watson;AZE;658
Institut de Santé Thomas Desir;AZE;2832
Hôpital James Puentes;AZE;388
Centre de Recherche Johnny Grammer;BHS;1096
Centre Médical Ray Foster;BHS;448
Centre Hospitalier Universitaire Royce Gross;BHR;2725
Centre Willie Gould;BHR;614
Centre Hospitalier Universitaire Carol Roberts;BHR;263
Centre Carolyn Adams;BGD;9031
Centre Médical Maria Inocencio;BGD;4149
Centre de Recherche Jenniffer Towne;BGD;9024
Centre de Recherche Angel Hackworth;BGD;4351
Institut de Santé Matthew Udy;BGD;1326
Hôpital Roberto Thoma;BGD;3393
Centre Ronnie Tolbert;BGD;8845
Hôpital Madaline Harmon;BGD;6209
Centre Hospitalier Universitaire Rafael Scott;BGD;1038
Centre Hospitalier Terry Bassett;BGD;7072
Clinique Pearl Daniel;BGD;8129
Centre Hospitalier Steven Michael;BGD;7694
Clinique Joseph Goetz;BGD;1285
Institut Charlotte Johnson;BGD;5524
Institut Norman Sapp;BGD;2445
Centre Christopher Martinez;BGD;8036
Centre de Recherche Ann Heavin;BGD;9652
Centre de Recherche Joseph Klein;BGD;5731
Centre Lillian Howard;BGD;3780
Centre Hospitalier Nancy Hinson;BGD;8108
Institut Megan Dillon;BGD;1861
Centre Hospitalier Universitaire Sandra Burkel;BGD;1051
Centre de Recherche Michelle Tienda;BGD;5348
Centre Médical George Olms;BGD;1697
Centre de Recherche George Larsen;BGD;4393
Institut Francis Weitzel;BGD;1100
Institut de Santé Mamie Molz;BGD;1040
Centre Hospitalier Nedra Ontiveros;BGD;465
Centre Eleanor Lopez;BRB;1218
Hôpital Jane Moore;BRB;474
Centre Peter Ignaczak;BLR;5298
Clinique Theresa Hall;BLR;4426
Centre de Recherche Michele Miklos;BLR;3755
Centre Harold Lee;BLR;6797
Institut de Santé Paul Blocker;BLR;6321
Centre Albert Rapacz;BLR;2570
Centre Hospitalier Hazel McKim;BLR;593
Centre Linda Shackett;BLR;1755
Hôpital George Calderon;BLR;9147
Centre de Recherche Eric Perryman;BLR;1331
Institut Deloris Feller;BLR;7825
Centre Médical Denise Neice;BLR;1328
Centre de Recherche Harold Cordova;BLR;7846
Institut de Santé Ruth Walker;BLR;5609
Hôpital Avis White;BLR;3089
Hôpital Terry Skidmore;BLR;5029
Institut Frederick Wheelock;BLR;4687
Institut de Santé Jack Armour;BLR;7323
Institut Elizabeth Wessels;BLR;855
Centre de Recherche Michael Shanahan;BLR;5034
Institut de Santé Alvin Hoffman;BLR;6335
Centre Hospitalier Universitaire Marie Grooms;BLR;5263
Centre Gerald Jenkins;BLR;583
Centre Hospitalier Marshall Andreassen;BLR;860
Centre Hospitalier Donna Young;BLR;442
Centre Hospitalier Samantha Gomez;BEL;684
Centre de Recherche Kirstie Butler;BEL;822
Institut de Santé Tony Hogan;BEL;3925
Centre Hospitalier Universitaire Karen Simmons;BEL;4416
Institut de Santé Mary Willems;BEL;2749
Institut Barbara Burns;BEL;6877
Clinique Brian Crowe;BEL;8605
Hôpital Jack Mullin;BEL;4706
Institut de Santé Robert Brooks;BEL;6694
Centre Hospitalier Universitaire Aileen Andrews;BEL;8977
Institut de Santé Danny Fletcher;BEL;1788
Institut de Santé Lisa Navarro;BEL;5505
Institut de Santé Ligia Black;BEL;4420
Centre Hospitalier Universitaire Freda Champney;BEL;3024
Centre de Recherche Alma Hawk;BEL;599
Centre Médical Larry Hague;BEL;687
Centre Daniel Ramirez;BEL;814
Centre Hospitalier Universitaire Vanessa Johnson;BEL;254
Hôpital Barbara Casso;BLZ;511
Centre de Recherche Sonya Newman;BLZ;251
Centre Courtney Audette;BEN;4986
Centre de Recherche Kenneth Jackson;BEN;853
Centre Ellen Neighbors;BEN;302
Institut de Santé Carrie Spradling;BTN;734
Centre Hospitalier Timothy Willson;BTN;534
Institut de Santé Justin Folker;BTN;448
Clinique Dennis Carter;BOL;6665
Hôpital Michael Cabrera;BOL;2121
Clinique Jessica Aberle;BOL;1809
Institut de Santé Matthew Olson;BOL;1830
Clinique Roger Vanord;BOL;491
Centre Hospitalier Shirley Eskew;BIH;6632
Centre de Recherche Elizabeth Poulos;BIH;508
Centre Hospitalier Universitaire George Ahmed;BIH;3605
Centre de Recherche Stanley Buckman;BIH;566
Centre Josephine Huelsman;BIH;342
Centre Hospitalier Carrie Idell;BWA;3915
Centre de Recherche Tameika Johnson;BWA;428
Centre Amanda Carver;BRA;3118
Centre Deborah Yates;BRA;7806
Centre de Recherche Denise Dillard;BRA;8775
Centre Inez Flener;BRA;7997
Institut Cara Pestana;BRA;8463
Centre Médical Gerald Roberts;BRA;3420
Centre de Recherche Daniel Fanton;BRA;2745
Hôpital Donna Steeley;BRA;2348
Institut Harvey Adams;BRA;9355
Centre Hospitalier Universitaire Roberta Joseph;BRA;5847
Institut de Santé Ester Bisaillon;BRA;5508
Centre Hospitalier Adrianne Reid;BRA;3303
Institut William Kennedy;BRA;687
Centre Médical Cathy Porciello;BRA;864
Centre Raymond Best;BRA;8405
Clinique Peggy Krane;BRA;5339
Centre Joanna Scanlon;BRA;782
Centre de Recherche Amy Bowers;BRA;3653
Centre Melinda McClain;BRA;6183
Centre Mark Heekin;BRA;4415
Centre de Recherche John Alexander;BRA;1268
Institut de Santé Rusty Wiberg;BRA;8189
Centre Olga Berger;BRA;661
Centre Médical Ginny Gonzales;BRA;9157
Institut de Santé Ray Williams;BRA;3225
Centre de Recherche Carrie Olejniczak;BRA;6362
Institut de Santé Tammy Lewis;BRA;2673
Centre Hospitalier Dominick Hoag;BRA;8521
Clinique Arthur Schmitz;BRA;8206
Clinique Lorenzo Corneille;BRA;6299
Centre Janet Jordan;BRA;6576
Institut Willie Berardi;BRA;735
Institut Ellen Bird;BRA;2130
Centre de Recherche Joey Holder;BRA;3210
Centre Hospitalier Universitaire Andrea Blackstone;BRA;6031
Centre de Recherche David Hale;BRA;3567
Centre Hospitalier Universitaire Tanika Zayas;BRA;2352
Centre Médical Diane Lewis;BRA;1488
Clinique Charles Atkinson;BRA;1382
Centre Brenda Campbell;BRA;7555
Centre de Recherche Mabel Adelsperger;BRA;1357
Centre de Recherche Patrick Amato;BRA;8901
Centre Hospitalier Andrew Belgard;BRA;5442
Institut Meagan Toothaker;BRA;9367
Clinique Mary Reigle;BRA;8022
Centre Hospitalier Universitaire Emilia Shepherd;BRA;7988
Centre Barbara Fieser;BRA;1576
Centre de Recherche Jack Lopez;BRA;540
Centre Jodie Aylward;BRA;1757
