iso_code;location;code_continent;population;surface;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;diabetes_prevalence;smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;cardiovasc_death_rate
AFG;Afghanistan;AS;38928341;715305.22;18.6;2.581;1.337;1803.987;;9.59;;37.746;0.5;64.83;0.511;597.029
ALB;Albania;EU;2877800;27441.33;38.0;13.188;8.643;11803.431;1.1;10.08;29.15;;2.89;78.57;0.795;304.195
DZA;Algeria;AF;43851043;2527729.01;29.1;6.211;3.857;13913.839;0.5;6.73;15.55;83.741;1.9;76.88;0.748;278.364
AND;Andorra;EU;77265;471.83;;;;;;7.97;33.4;;;83.73;0.868;109.135
AGO;Angola;AF;32866268;1375733.27;16.8;2.405;1.362;5819.495;;3.94;;26.664;;61.15;0.581;276.045
AIA;Anguilla;NA;15002;nan;;;;;;;;;;81.88;;
ATG;Antigua and Barbuda;NA;97928;422.38;32.1;6.933;4.631;21490.943;;13.17;;;3.8;77.02;0.778;191.511
ARG;Argentina;SA;45195777;2793829.32;31.9;11.198;7.441;18933.907;0.6;5.5;21.95;;5.0;76.67;0.845;191.032
ARM;Armenia;AS;2963234;28788.54;35.7;11.232;7.571;8787.58;1.8;7.11;26.8;94.043;4.2;75.09;0.776;341.01
ABW;Aruba;NA;106766;182.56;41.2;13.085;7.452;35973.781;;11.62;;;;76.29;;
AUS;Australia;OC;25499881;7963735.47;37.9;15.504;10.129;44648.71;0.5;5.07;14.75;;3.84;83.44;0.944;107.791
AUT;Austria;EU;9006400;84369.87;44.4;19.202;13.748;45436.686;0.7;6.35;29.65;;7.37;81.54;0.922;145.183
AZE;Azerbaijan;AS;10139175;84982.48;32.4;6.018;3.871;15847.419;;7.11;21.4;83.241;4.7;73.0;0.756;559.812
BHS;Bahamas;NA;393248;9956.4;34.3;8.996;5.2;27717.847;;13.17;11.75;;2.9;73.92;0.814;235.954
BHR;Bahrain;AS;1701583;878.95;32.4;2.372;1.387;43290.705;;16.52;21.7;;2.0;77.29;0.852;151.689
BGD;Bangladesh;AS;164689383;130185.53;27.5;5.098;3.262;3523.984;14.8;8.38;22.85;34.808;0.8;72.59;0.632;298.003
BRB;Barbados;NA;287371;432.48;39.8;14.952;9.473;16978.068;;13.57;8.2;88.469;5.8;79.19;0.814;170.05
BLR;Belarus;EU;9449321;201658.64;40.3;14.799;9.788;17167.967;;5.18;28.3;;11.0;74.79;0.823;443.129
BEL;Belgium;EU;11589616;30859.23;41.8;18.571;12.849;42658.576;0.2;4.29;28.25;;5.64;81.63;0.931;114.898
BLZ;Belize;NA;397621;24206.8;25.0;3.853;2.279;7824.362;;17.11;;90.083;1.3;74.62;0.716;176.957
BEN;Benin;AF;12123198;122320.63;18.8;3.244;1.942;2064.236;49.6;0.99;6.45;11.035;0.5;61.77;0.545;235.848
BMU;Bermuda;NA;62273;47.57;;;;50669.315;;13.0;;;;82.59;;139.547
BTN;Bhutan;AS;771612;36417.4;28.6;4.885;2.977;8708.597;1.5;9.75;;79.807;1.7;71.78;0.654;217.066
BOL;Bolivia;SA;11673029;1144190.25;25.4;6.704;4.393;6885.829;7.1;6.89;;25.383;1.1;71.51;0.718;204.299
BIH;Bosnia and Herzegovina;EU;3280815;47897.9;42.5;16.569;10.711;11713.895;0.2;10.08;38.95;97.164;3.5;77.4;0.78;329.635
BWA;Botswana;AF;2351625;581509.64;25.8;3.941;2.242;15807.374;;4.81;20.05;;1.8;69.59;0.735;237.372
BRA;Brazil;SA;212559409;8488794.28;33.5;8.552;5.06;14103.452;3.4;8.11;14.0;;2.2;75.88;0.765;177.961
BRN;Brunei;AS;437483;5377.98;32.4;4.591;2.382;71809.251;;12.79;16.45;;2.7;75.86;0.838;201.285
BGR;Bulgaria;EU;6948445;106603.94;44.7;20.801;13.272;18563.307;1.5;5.81;37.25;;7.454;75.05;0.816;424.688
BFA;Burkina Faso;AF;20903278;297975.48;17.6;2.409;1.358;1703.102;43.7;2.42;12.75;11.877;0.4;61.58;0.452;269.048
BDI;Burundi;AF;11890781;28106.47;17.5;2.562;1.504;702.225;71.7;6.05;;6.144;0.8;61.58;0.433;293.068
KHM;Cambodia;AS;16718971;184389.56;25.6;4.412;2.385;3645.07;;4.0;17.85;66.229;0.8;69.82;0.594;270.892
CMR;Cameroon;AF;26545864;521683.48;18.8;3.165;1.919;3364.926;23.8;7.2;;2.735;1.3;59.29;0.563;244.661
CAN;Canada;NA;37742157;9349060.44;41.4;16.984;10.797;44017.591;0.5;7.37;14.3;;2.5;82.43;0.929;105.599
CPV;Cape Verde;AF;555988;4100.81;25.7;4.46;3.437;6222.554;;2.42;9.3;;2.1;72.98;0.665;182.219
CYM;Cayman Islands;NA;65720;256.22;;;;49903.029;;13.22;;;;83.92;;
CAF;Central African Republic;AF;4829764;645776.7;18.3;3.655;2.251;661.24;;6.1;;16.603;1.0;53.28;0.397;435.727
TCD;Chad;AF;16425859;1388139.86;16.7;2.486;1.446;1768.153;38.4;6.1;;5.818;;54.24;0.398;280.995
CHL;Chile;SA;19116209;787258.42;35.4;11.087;6.938;22767.037;1.3;8.46;37.85;;2.11;80.18;0.851;127.993
CHN;China;AS;1439323774;9746629.56;38.7;10.641;5.929;15308.712;0.7;9.74;25.15;;4.34;76.91;0.761;261.899
COL;Colombia;SA;50882884;1150597.74;32.2;7.646;4.312;13254.949;4.5;7.44;9.1;65.386;1.71;77.29;0.767;124.24
COM;Comoros;AF;869595;1988.31;20.4;2.963;1.726;1413.89;18.1;11.88;14.0;15.574;2.2;64.32;0.554;261.516
COG;Congo;AF;5518092;358201.36;19.0;3.402;2.063;4881.406;37.0;7.2;27.0;47.964;;64.57;0.574;344.094
CRI;Costa Rica;NA;5094114;53020.05;33.6;9.468;5.694;15524.995;1.3;8.78;11.9;83.841;1.13;80.28;0.81;137.973
CIV;Cote d'Ivoire;AF;26378275;345269.89;18.7;2.933;1.582;3601.006;28.2;2.42;;19.351;;57.78;0.538;303.74
HRV;Croatia;EU;4105268;55682.77;44.0;19.724;13.053;22669.797;0.7;5.59;37.1;;5.54;78.49;0.851;253.782
CUB;Cuba;NA;11326616;102588.72;43.1;14.738;9.719;;;8.27;35.2;85.198;5.2;78.8;0.783;190.968
CUW;Curacao;NA;164100;452.5;41.7;16.367;10.068;;;11.62;;;;78.88;;
CYP;Cyprus;EU;875899;6861.34;37.3;13.416;8.563;32415.132;;9.24;36.15;;3.4;80.98;0.887;141.171
CZE;Czechia;EU;10708982;78067.46;43.3;19.027;11.58;32605.906;;6.82;34.4;;6.63;79.38;0.9;227.485
COD;Democratic Republic of Congo;AF;89561404;2496206.8;17.0;3.02;1.745;808.133;77.1;6.1;;4.472;;60.68;0.48;318.949
DNK;Denmark;EU;5792203;42427.5;42.3;19.677;12.325;46682.515;0.2;6.41;19.05;;2.5;80.9;0.94;114.767
DJI;Djibouti;AF;988002;23931.25;25.4;4.213;2.38;2705.406;22.5;6.05;13.1;;1.4;67.11;0.524;258.037
DMA;Dominica;NA;71991;730.37;;;;9673.367;;11.62;;;3.8;75.0;0.742;227.376
DOM;Dominican Republic;NA;10847904;48673.02;27.6;6.981;4.419;14600.861;1.6;8.2;13.8;55.182;1.6;74.08;0.756;266.653
ECU;Ecuador;SA;17643060;263569.21;28.1;7.104;4.458;10581.936;3.6;5.55;7.15;80.635;1.5;77.01;0.759;140.448
EGY;Egypt;AF;102334403;1044239.25;25.3;5.159;2.891;10550.206;1.3;17.31;25.15;89.827;1.6;71.99;0.707;525.432
SLV;El Salvador;NA;6486201;21072.02;27.6;8.273;5.417;7292.458;2.2;8.87;10.65;90.65;1.3;73.32;0.673;167.295
GNQ;Equatorial Guinea;AF;1402985;31043.61;22.4;2.846;1.752;22604.873;;7.78;;24.64;2.1;58.74;0.592;202.812
ERI;Eritrea;AF;3546427;80047.55;19.3;3.607;2.171;1510.459;;6.05;5.8;;0.7;66.32;0.459;311.11
EST;Estonia;EU;1326539;42746.07;42.7;19.452;13.491;29481.252;0.5;4.02;31.9;;4.69;78.74;0.892;255.569
SWZ;Eswatini;AF;1160164;14594.72;21.5;3.163;1.845;7738.975;;3.94;9.1;24.097;2.1;60.19;0.611;333.436
ETH;Ethiopia;AF;114963583;1095339.83;19.8;3.526;2.063;1729.927;26.7;7.47;4.45;7.96;0.3;66.6;0.485;182.634
FRO;Faeroe Islands;EU;48865;1383.96;;;;;;;;;;80.67;;
FLK;Falkland Islands;SA;3483;nan;;;;;;;;;;81.44;;
FJI;Fiji;OC;896444;18087.32;28.6;6.224;3.284;8702.975;1.4;14.49;22.5;;2.3;67.44;0.743;412.82
FIN;Finland;EU;5540718;305509.37;42.8;21.228;13.264;40585.721;;5.76;20.45;;3.28;81.91;0.938;153.507
FRA;France;EU;68147687;555953.65;42.0;19.718;13.079;38605.671;;4.77;32.85;;5.98;82.66;0.901;86.06
GAB;Gabon;AF;2225728;283207.53;23.1;4.45;2.976;16562.413;3.4;7.2;;;6.3;66.47;0.703;259.967
GMB;Gambia;AF;2416664;11642.87;17.5;2.339;1.417;1561.767;10.1;1.91;15.95;7.876;1.1;62.05;0.496;331.43
