iso;date;deces;naissances
AFG;2020-02-24;2543;2542
AFG;2020-02-25;2267;3998
AFG;2020-02-26;1997;2950
AFG;2020-02-27;1396;4021
AFG;2020-02-28;1338;2677
AFG;2020-02-29;2371;4407
AFG;2020-03-01;1008;3524
AFG;2020-03-02;2625;3725
AFG;2020-03-03;2444;3084
AFG;2020-03-04;2836;3929
AFG;2020-03-05;2085;2784
AFG;2020-03-06;1747;3848
AFG;2020-03-07;1884;3368
AFG;2020-03-08;2236;3526
AFG;2020-03-09;2301;3702
AFG;2020-03-10;2610;3543
AFG;2020-03-11;2817;3138
AFG;2020-03-12;1181;3101
AFG;2020-03-13;1228;4157
AFG;2020-03-14;1094;3753
AFG;2020-03-15;2095;4139
AFG;2020-03-16;1398;4214
AFG;2020-03-17;1703;4009
AFG;2020-03-18;1592;4268
AFG;2020-03-19;1651;2830
AFG;2020-03-20;1785;2687
AFG;2020-03-21;2642;2802
AFG;2020-03-22;1768;4389
AFG;2020-03-23;2975;3413
AFG;2020-03-24;2652;3003
AFG;2020-03-25;2195;4306
AFG;2020-03-26;2069;3680
AFG;2020-03-27;1079;3214
AFG;2020-03-28;1159;3111
AFG;2020-03-29;1661;4048
AFG;2020-03-30;1080;3359
AFG;2020-03-31;1630;3773
AFG;2020-04-01;1693;2586
AFG;2020-04-02;2760;4026
AFG;2020-04-03;2756;3335
AFG;2020-04-04;2211;3527
AFG;2020-04-05;2196;3024
AFG;2020-04-06;1602;2551
AFG;2020-04-07;1606;2984
AFG;2020-04-08;2115;3631
AFG;2020-04-09;1950;3086
AFG;2020-04-10;1129;4458
AFG;2020-04-11;1679;3490
AFG;2020-04-12;2954;3382
AFG;2020-04-13;1637;3540
AFG;2020-04-14;2156;4208
AFG;2020-04-15;1136;3429
AFG;2020-04-16;2564;3937
AFG;2020-04-17;2172;2574
AFG;2020-04-18;1701;3626
AFG;2020-04-19;1599;3525
AFG;2020-04-20;2347;2818
AFG;2020-04-21;1101;3176
AFG;2020-04-22;1216;2858
AFG;2020-04-23;2772;3231
AFG;2020-04-24;1438;4005
AFG;2020-04-25;1214;3989
AFG;2020-04-26;1940;3697
AFG;2020-04-27;1295;2868
AFG;2020-04-28;2290;2597
AFG;2020-04-29;1497;3585
AFG;2020-04-30;1454;3263
AFG;2020-05-01;2844;4351
AFG;2020-05-02;2133;3567
AFG;2020-05-03;1030;4456
AFG;2020-05-04;2146;4084
AFG;2020-05-05;2123;4255
AFG;2020-05-06;2168;3918
AFG;2020-05-07;1297;3357
AFG;2020-05-08;2388;2709
AFG;2020-05-09;1879;2832
AFG;2020-05-10;2014;4138
AFG;2020-05-11;1180;4100
AFG;2020-05-12;2130;3679
AFG;2020-05-13;1396;3372
AFG;2020-05-14;1592;2575
AFG;2020-05-15;1061;3406
AFG;2020-05-16;2490;3615
AFG;2020-05-17;1770;2836
AFG;2020-05-18;2677;3698
AFG;2020-05-19;2565;4197
AFG;2020-05-20;2206;4062
AFG;2020-05-21;2231;2542
AFG;2020-05-22;2501;2852
AFG;2020-05-23;1917;3526
AFG;2020-05-24;1968;4189
AFG;2020-05-25;1350;2529
AFG;2020-05-26;2698;3985
AFG;2020-05-27;1913;3334
AFG;2020-05-28;1233;3177
AFG;2020-05-29;1189;3932
AFG;2020-05-30;1154;2912
AFG;2020-05-31;2148;3088
AFG;2020-06-01;2311;4107
AFG;2020-06-02;1702;2687
AFG;2020-06-03;2627;4070
AFG;2020-06-04;1787;4229
AFG;2020-06-05;1768;3015
AFG;2020-06-06;2659;3973
AFG;2020-06-07;2015;3789
AFG;2020-06-08;1426;4291
AFG;2020-06-09;2932;3134
AFG;2020-06-10;2731;3121
AFG;2020-06-11;1051;2598
AFG;2020-06-12;1369;2638
AFG;2020-06-13;1515;4327
AFG;2020-06-14;1916;2760
AFG;2020-06-15;2620;3307
AFG;2020-06-16;1049;4214
AFG;2020-06-17;1549;3918
AFG;2020-06-18;1712;4089
AFG;2020-06-19;2689;3576
AFG;2020-06-20;2118;2745
AFG;2020-06-21;1755;3357
AFG;2020-06-22;2022;4284
AFG;2020-06-23;1600;3293
AFG;2020-06-24;2587;3325
AFG;2020-06-25;1370;4180
AFG;2020-06-26;2139;2620
AFG;2020-06-27;2978;2958
AFG;2020-06-28;2229;3236
AFG;2020-06-29;2606;3755
AFG;2020-06-30;2642;3077
AFG;2020-07-01;1550;3702
AFG;2020-07-02;2877;3915
AFG;2020-07-03;1527;2745
AFG;2020-07-04;1917;4450
AFG;2020-07-05;2361;2887
AFG;2020-07-06;1093;4405
AFG;2020-07-07;2717;4156
AFG;2020-07-08;2928;3698
AFG;2020-07-09;2862;2794
AFG;2020-07-10;1228;3244
AFG;2020-07-11;2533;3142
AFG;2020-07-12;2276;2518
AFG;2020-07-13;2087;3176
AFG;2020-07-14;2796;4381
AFG;2020-07-15;1768;3292
AFG;2020-07-16;2795;2618
AFG;2020-07-17;1811;2760
AFG;2020-07-18;1174;4068
AFG;2020-07-19;1609;3668
AFG;2020-07-20;2757;4262
AFG;2020-07-21;2202;3790
AFG;2020-07-22;1113;3095
AFG;2020-07-23;2384;2878
AFG;2020-07-24;2606;3530
AFG;2020-07-25;2515;2856
AFG;2020-07-26;1165;3464
AFG;2020-07-27;2058;3893
AFG;2020-07-28;1410;3843
AFG;2020-07-29;2587;2583
AFG;2020-07-30;2927;4451
AFG;2020-07-31;2101;2630
AFG;2020-08-01;1690;2541
AFG;2020-08-02;2602;2916
AFG;2020-08-03;1287;3900
AFG;2020-08-04;1116;3013
AFG;2020-08-05;2021;4491
AFG;2020-08-06;1293;3399
AFG;2020-08-07;2203;2695
AFG;2020-08-08;1577;3942
AFG;2020-08-09;2102;4177
AFG;2020-08-10;2161;2869
AFG;2020-08-11;2231;4274
AFG;2020-08-12;2034;3752
AFG;2020-08-13;2010;4319
AFG;2020-08-14;1827;3571
AFG;2020-08-15;1685;2759
AFG;2020-08-16;2326;4371
AFG;2020-08-17;2225;4185
AFG;2020-08-18;1436;4306
AFG;2020-08-19;1020;2952
AFG;2020-08-20;1264;4315
AFG;2020-08-21;2820;3662
AFG;2020-08-22;1175;2734
AFG;2020-08-23;2542;3966
AFG;2020-08-24;1174;3215
AFG;2020-08-25;2546;2763
AFG;2020-08-26;2076;4009
AFG;2020-08-27;1545;3633
AFG;2020-08-28;1953;3613
AFG;2020-08-29;1881;3887
AFG;2020-08-30;2436;4013
AFG;2020-08-31;1075;3858
AFG;2020-09-01;1954;2700
AFG;2020-09-02;2228;4176
AFG;2020-09-03;2468;3143
AFG;2020-09-04;1136;2575
AFG;2020-09-05;2118;2822
AFG;2020-09-06;1536;2971
AFG;2020-09-07;1039;2803
AFG;2020-09-08;1068;4464
AFG;2020-09-09;1721;4151
AFG;2020-09-10;1824;3006
AFG;2020-09-11;1473;4046
AFG;2020-09-12;2343;3913
AFG;2020-09-13;2706;3544
AFG;2020-09-14;1886;3607
AFG;2020-09-15;2304;4077
AFG;2020-09-16;2785;3118
AFG;2020-09-17;1271;4002
AFG;2020-09-18;2054;4069
AFG;2020-09-19;1860;4178
AFG;2020-09-20;2075;3001
AFG;2020-09-21;1118;2684
AFG;2020-09-22;1348;3379
AFG;2020-09-23;2622;4321
AFG;2020-09-24;2152;3082
AFG;2020-09-25;2304;3776
AFG;2020-09-26;2007;4431
AFG;2020-09-27;2613;4357
AFG;2020-09-28;2228;4464
AFG;2020-09-29;2430;2517
AFG;2020-09-30;1576;4183
AFG;2020-10-01;1886;2846
AFG;2020-10-02;1229;4096
AFG;2020-10-03;2298;3503
AFG;2020-10-04;1571;3773
AFG;2020-10-05;1737;3579
AFG;2020-10-06;2524;4180
AFG;2020-10-07;1210;3521
AFG;2020-10-08;2291;2806
AFG;2020-10-09;1004;4434
AFG;2020-10-10;2616;3048
AFG;2020-10-11;1558;2741
AFG;2020-10-12;1961;4365
AFG;2020-10-13;2830;2988
AFG;2020-10-14;1790;4440
AFG;2020-10-15;1551;4376
AFG;2020-10-16;2538;4269
AFG;2020-10-17;2742;2793
AFG;2020-10-18;2578;4318
AFG;2020-10-19;2676;3924
AFG;2020-10-20;1615;3208
AFG;2020-10-21;1473;2680
AFG;2020-10-22;1389;3732
AFG;2020-10-23;2864;3882
AFG;2020-10-24;2126;3028
AFG;2020-10-25;2054;4109
AFG;2020-10-26;1590;2867
AFG;2020-10-27;1039;3987
AFG;2020-10-28;1077;3367
AFG;2020-10-29;2664;2527
AFG;2020-10-30;2019;3459
AFG;2020-10-31;1059;2523
AFG;2020-11-01;1664;2623
AFG;2020-11-02;2196;4272
AFG;2020-11-03;1824;2577
AFG;2020-11-04;1162;2664
AFG;2020-11-05;2619;4101
AFG;2020-11-06;1034;4223
AFG;2020-11-07;2823;3302
AFG;2020-11-08;1574;4186
AFG;2020-11-09;2234;2781
AFG;2020-11-10;1458;4183
AFG;2020-11-11;2689;2940
AFG;2020-11-12;2622;3572
AFG;2020-11-13;2221;3548
AFG;2020-11-14;2279;2510
AFG;2020-11-15;1049;3880
AFG;2020-11-16;1343;3888
AFG;2020-11-17;1571;2610
AFG;2020-11-18;2164;3092
AFG;2020-11-19;1646;4434
AFG;2020-11-20;1390;3195
AFG;2020-11-21;1208;3304
AFG;2020-11-22;1186;3510
AFG;2020-11-23;2485;2511
AFG;2020-11-24;1180;2612
AFG;2020-11-25;2769;4471
AFG;2020-11-26;2040;2897
AFG;2020-11-27;2867;3809
AFG;2020-11-28;2584;3522
AFG;2020-11-29;2576;3170
AFG;2020-11-30;1227;4310
AFG;2020-12-01;1008;2647
AFG;2020-12-02;1265;4384
AFG;2020-12-03;1606;2927
AFG;2020-12-04;1511;2692
AFG;2020-12-05;1804;3962
AFG;2020-12-06;2296;3002
AFG;2020-12-07;1455;3492
AFG;2020-12-08;2730;3768
AFG;2020-12-09;2509;3374
AFG;2020-12-10;1800;3946
AFG;2020-12-11;1745;3605
AFG;2020-12-12;1161;3689
AFG;2020-12-13;1562;3985
AFG;2020-12-14;1598;4015
AFG;2020-12-15;1453;2509
AFG;2020-12-16;1280;3092
AFG;2020-12-17;1391;3598
AFG;2020-12-18;1420;4057
AFG;2020-12-19;1969;3779
AFG;2020-12-20;1335;4349
AFG;2020-12-21;2435;2810
AFG;2020-12-22;2447;2873
AFG;2020-12-23;2659;2893
AFG;2020-12-24;2923;3595
AFG;2020-12-25;1446;2925
AFG;2020-12-26;2256;3767
AFG;2020-12-27;1607;4133
AFG;2020-12-28;1838;4128
AFG;2020-12-29;1530;4467
AFG;2020-12-30;2745;3397
AFG;2020-12-31;1671;2559
AFG;2021-01-01;2982;3862
AFG;2021-01-02;1378;2590
AFG;2021-01-03;1026;3824
AFG;2021-01-04;1215;3120
AFG;2021-01-05;1616;2735
AFG;2021-01-06;2894;4455
AFG;2021-01-07;2809;4092
AFG;2021-01-08;1131;3934
AFG;2021-01-09;1912;2803
AFG;2021-01-10;2293;2558
AFG;2021-01-11;2507;4279
AFG;2021-01-12;1021;3155
AFG;2021-01-13;2657;2725
AFG;2021-01-14;1049;4129
AFG;2021-01-15;1498;2998
AFG;2021-01-16;1316;3052
AFG;2021-01-17;1857;3017
AFG;2021-01-18;1734;3199
AFG;2021-01-19;1666;3107
AFG;2021-01-20;1630;3040
AFG;2021-01-21;2801;4434
AFG;2021-01-22;2793;3247
AFG;2021-01-23;2297;3123
AFG;2021-01-24;2620;4110
AFG;2021-01-25;2589;2723
AFG;2021-01-26;2623;4059
AFG;2021-01-27;2770;3145
AFG;2021-01-28;1214;2822
AFG;2021-01-29;2346;3928
AFG;2021-01-30;1474;4111
AFG;2021-01-31;2837;4469
AFG;2021-02-01;2994;3532
AFG;2021-02-02;2400;2653
AFG;2021-02-03;2802;4127
AFG;2021-02-04;1718;4451
AFG;2021-02-05;1772;2532
AFG;2021-02-06;1037;3588
AFG;2021-02-07;1886;2551
AFG;2021-02-08;1737;3341
AFG;2021-02-09;1811;4496
AFG;2021-02-10;1313;3374
AFG;2021-02-11;1540;4438
AFG;2021-02-12;2180;3908
AFG;2021-02-13;2300;4011
AFG;2021-02-14;2771;3006
AFG;2021-02-15;1456;3705
AFG;2021-02-16;1472;3962
AFG;2021-02-17;2328;2979
AFG;2021-02-18;1372;3126
AFG;2021-02-19;1733;3680
AFG;2021-02-20;2518;3145
AFG;2021-02-21;2004;3668
AFG;2021-02-22;1533;3928
AFG;2021-02-23;1915;3800
AFG;2021-02-24;2005;3363
AFG;2021-02-25;2436;2525
AFG;2021-02-26;1161;3653
AFG;2021-02-27;2627;3623
AFG;2021-02-28;2207;2941
AFG;2021-03-01;2839;2911
AFG;2021-03-02;2377;3250
AFG;2021-03-03;1423;4142
AFG;2021-03-04;1229;4046
AFG;2021-03-05;1966;4399
AFG;2021-03-06;2099;3549
AFG;2021-03-07;2747;3793
AFG;2021-03-08;1658;2521
